ship,lat,lon
DAN2,56.9572,7.6362
DAN2,57.0378,7.1934
DAN2,57.1008,6.7712
DAN2,57.804,5.0352
DAN2,57.2894,5.0529
DAN2,56.8757,5.0253
DAN2,55.6857,6.7366
DAN2,55.5973,7.0792
DAN2,55.3129,7.4984
DAN2,55.2894,8.0238
DAN2,56.539,6.8237
DAN2,56.2939,7.0822
DAN2,56.1829,6.5377
DAN2,55.2835,4.2406
DAN2,55.0758,3.7046
DAN2,54.8571,3.6713
DAN2,54.7563,4.8352
DAN2,54.727,5.2017
DAN2,55.0521,5.3747
DAN2,55.1289,6.9021
DAN2,54.9745,6.5377
DAN2,54.8699,7.1402
DAN2,55.1623,0.2914
DAN2,55.3375,0.1754
DAN2,54.8185,0.3084
DAN2,55.8325,0.698
DAN2,55.8912,1.157
DAN2,55.4024,1.2017
DAN2,53.9418,0.7987
DAN2,54.3434,0.8298
DAN2,54.7162,0.6486
DAN2,54.3864,1.2597
DAN2,54.5783,1.2212
DAN2,54.6871,2.2947
DAN2,53.7345,3.4664
DAN2,54.1959,3.0469
DAN2,54.1504,2.5408
DAN2,56.0564,5.7096
DAN2,55.916,5.4514
DAN2,54.9235,8.0375
GOS,57.175,5.8083
GOS,57.1467,6.2533
GOS,56.8767,6.3017
GOS,56.9283,7.2467
GOS,57.1583,7.5383
GOS,56.7017,4.4333
GOS,56.85,5.0417
GOS,57.14,4.8183
GOS,56.9483,3.2383
GOS,60.6167,3.0533
GOS,60.7133,2.6117
GOS,61.0217,2.45
GOS,60.69,1.5717
GOS,60.7133,0.8317
GOS,60.1133,0.77
GOS,59.8817,0.7267
GOS,59.7417,1.365
GOS,60.0567,1.5517
GOS,60.2017,2.7
GOS,60.205,3.0833
GOS,59.7783,3.19
GOS,59.6817,2.7717
GOS,57.9633,5.235
GOS,58.0467,4.8
GOS,57.7017,4.3717
GOS,57.29,2.5617
GOS,57.5217,2.7517
GOS,57.5617,3.155
GOS,57.26,3.3683
GOS,56.93,2.985
GOS,58.085,3.0983
GOS,58.2067,2.6817
GOS,58.685,2.715
GOS,58.8733,3.29
GOS,59.24,3.2983
GOS,59.2817,2.5283
GOS,59.2833,1.885
GOS,59.3,0.5117
GOS,61.2317,0.4933
MIM,58.2367,11.1795
MIM,58.5635,10.875
MIM,58.6285,10.8435
MIM,58.5035,10.8378
MIM,58.4917,11.1277
MIM,58.33,10.9977
MIM,58.3228,10.845
MIM,58.0663,10.7432
MIM,57.9598,9.819
MIM,58.0065,9.816
