"age 1","age 2","age 3","age 4","age 5","age 6","age 7","age 8","age 9","age 10"
"1957",32356,49911,69038,45627,32732,8910,11029,9028,4973,10859
"1958",66199,80681,45860,64619,36249,19659,8178,8000,6110,13148
"1959",116086,144327,76829,36896,45836,23042,13873,6408,6596,16180
"1960",73939,173852,106824,52019,22388,27848,14186,9013,5087,15153
"1961",75578,146873,122406,68444,34311,12889,14680,9748,5996,14660
"1962",51265,183468,123475,88495,50859,20814,9060,9035,5257,12801
"1963",90913,140523,151249,86890,56476,31987,12848,6833,7047,16592
"1964",66035,167982,104642,98560,60419,37414,15819,6595,3980,16886
"1965",43708,435879,101464,56592,44597,30418,18361,8554,4213,17587
"1966",38496,167269,414367,65887,38069,27495,16500,10784,6467,14928
"1967",20199,139527,117836,265413,42006,22313,16175,8004,6728,11175
"1968",73971,81666,87037,64670,146055,17197,10341,10102,3925,13365
"1969",85195,82395,61934,55418,36358,104038,10410,6086,8192,16092
"1970",123645,169774,78921,57440,45747,35235,78886,6311,4185,14840
"1971",69356,126559,90636,36150,26485,22984,16913,29730,6414,16910
"1972",72235,91998,96098,58620,23610,17071,14380,10903,18585,15651
"1973",133620,81548,63107,73738,43544,13884,8885,9848,6084,23978
"1974",213362,331531,59200,42410,41686,19775,8005,6321,5568,21980
"1975",245950,308254,252159,36069,25672,21311,11873,5923,4106,19695
"1976",186699,174564,148703,114411,13953,9945,9120,6391,2947,12552
"1977",259848,160665,122606,99565,93022,9271,5912,5022,4061,9191
"1978",228015,214691,89600,65116,51346,36080,5940,3352,2419,7468
"1979",294484,273115,176441,67344,48475,40242,24228,4161,2807,9288
"1980",227350,187465,134673,78210,25167,18068,13761,8458,1864,5377
"1981",134395,294168,124146,57977,36176,12469,9564,8092,4874,5903
"1982",414641,252348,213631,70653,28871,16824,7589,5470,4482,8653
"1983",262614,556026,145750,101311,30163,12978,8216,4193,3013,8287
"1984",310783,376742,326860,78078,38960,13730,6465,5544,2720,6565
"1985",405506,302760,179882,187424,32720,15622,6871,3650,2698,5798
"1986",1119019,558090,212227,120271,85930,24195,9299,4490,2733,6950
"1987",361519,1459325,296920,112666,66106,34976,11452,4341,2154,5478
"1988",348597,623255,710060,135502,48262,25268,16774,5381,3162,6233
"1989",214552,532602,299105,317172,60133,19362,10567,7561,2120,5580
"1990",146864,311831,266440,139099,164825,26934,8129,4216,3451,3808
"1991",184587,344841,225170,156894,78489,78496,14910,5233,3141,5591
"1992",142165,263573,179701,106842,77010,34286,29547,6970,3200,6928
"1993",99832,208032,146463,84252,53040,29217,13472,11272,3645,5883
"1994",63516,140851,137320,81274,39364,20532,15323,6399,5368,5433
"1995",126614,119251,97151,79230,37162,18073,9772,4366,2336,3753
"1996",112354,373561,91988,50289,32581,14576,10605,4528,2624,4892
"1997",129545,553773,280776,44257,22812,13626,6362,3632,2179,4181
"1998",104734,676651,260551,109683,17010,6465,4986,2506,1761,3119
"1999",127870,217090,387740,94726,24390,6887,2783,2246,1521,3093
"2000",106056,187647,91904,230201,16625,9655,2399,1198,940,2097
"2001",34804,388808,240444,123671,144551,7048,4464,1128,637,2309
"2002",311003,193978,136274,61739,38681,38638,4763,1789,742,1586
"2003",68309,560788,101562,68836,31339,16454,22821,1609,650,859
"2004",233397,191141,221343,43238,22201,11650,4830,4556,412,540
"2005",96478,342682,72076,103120,21746,15610,5489,2615,2223,613
"2006",220828,244064,177680,35910,45525,6965,5721,2247,1235,1319
"2007",78598,224345,106621,57788,16408,24293,2663,3505,543,1259
"2008",135786,263599,80258,44207,31758,6217,15634,1803,673,896
