"1","2","3","4","5","6","7","8","9","10"
457973,256778,322069,182986,117504,49780,48438,35192,20763,45210
698110,383614,184865,225749,122171,75186,36568,33338,23255,49887
863386,568706,270362,123650,142799,76063,49331,25309,22555,55137
757299,670799,377298,171551,76786,85609,46907,31440,16805,49877
860577,614899,441591,239780,105744,48183,50972,28949,19875,48420
589154,706790,416674,283132,151856,63044,31337,32158,16921,41052
688367,484324,465010,259569,172010,89026,37245,19737,20503,48075
2231504,536381,304565,276886,152215,101919,50127,21480,11359,47991
694575,1956333,325548,176043,156783,80258,56631,30309,13162,54735
586779,586901,1355543,198053,105458,99442,43686,33776,19288,44345
401298,494322,371939,832388,116532,59210,63824,23833,20304,33591
434281,343895,314558,224455,500707,65485,32351,42365,13952,47349
648877,322591,233486,201832,141579,314127,42895,19436,28724,56233
650584,506088,213516,152354,129910,93521,185269,28911,11797,41653
410281,471058,296433,118125,83217,74032,51105,92600,20156,52939
366633,305264,305844,182008,72497,50104,45123,30154,55508,46558
1312097,263031,188703,185328,108927,43139,29098,27151,16913,66367
1132831,1060131,160429,110716,97550,57141,25827,17877,15199,59734
864875,822071,643884,88850,59839,48614,32892,15755,10163,48506
692849,548617,450621,342750,46085,29724,23716,18468,8621,36570
988889,449322,330359,266288,201302,28427,17436,12784,10632,23950
913474,647609,253735,182294,146238,93660,16903,10153,6790,20873
891160,609651,381760,144358,103006,83480,50427,9644,5998,19728
1128822,526233,291840,177595,66561,47093,37256,22582,4768,13688
869640,805139,297833,135962,86299,36287,25425,20621,12387,14930
2029493,659043,448698,151399,67874,43675,20973,13908,10961,21055
1306601,1441943,356286,202787,69784,33952,23515,11759,7381,20199
1261067,932456,775815,183739,87119,34452,18376,13462,6651,15972
1849179,845435,485353,391068,91984,41769,18113,10478,6908,14773
4732214,1287477,476987,268056,175570,52106,22934,9853,6009,15192
1918256,3217441,634086,229719,128142,77123,24133,11906,4644,11742
1770637,1391822,1523108,291306,100687,53066,36513,10943,6644,13016
1184055,1270543,666514,702735,134691,45197,23980,17083,4783,12518
1033216,867289,643008,318570,334158,64673,22478,11646,8265,9073
910370,795191,488133,328372,155939,145572,32898,12607,6528,11547
773003,648152,391496,227493,147881,66438,57051,15585,6429,13829
522410,564211,335754,183303,104213,60554,27502,23516,7471,11982
434986,377733,312633,164483,85716,43842,27000,12070,10556,10612
1153325,333174,207806,152259,71520,40115,20140,9855,4834,7718
1283485,923133,188033,95617,62404,29364,19106,8928,4764,8815
2105676,1054471,479943,82638,38682,25473,12705,7200,3771,7177
765785,1782067,427360,167188,32675,13301,10088,5444,3060,5377
836929,593285,968831,138847,46944,13385,5886,4385,2542,5126
927442,635651,330324,507804,35528,19277,5560,2678,1831,4058
516739,738301,396666,211468,240507,16333,8258,2749,1284,4624
1612473,434458,298197,130201,73704,80118,8074,3226,1415,3002
505292,1163190,208596,140192,59082,29896,35740,2775,1217,1597
1159019,392229,519060,92137,61372,23649,11400,10631,981,1279
714344,826710,173085,259117,42240,34413,10317,5720,5286,1450
820006,554592,422069,88053,136368,17535,16290,4114,2688,2855
949341,531914,269655,212889,45515,80086,9241,9298,1585,3660
844041,784235,267892,142573,137660,25576,49357,5828,5079,6750
