,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
1,457973.490139835,698110.437364402,863385.910769284,757298.545907669,860576.614059961,589153.991120365,688366.98383933,2231503.50713806,694574.81965068,586779.4955616,401297.617570675,434281.362722409,648876.65811707,650583.821880048,410280.903023851,366632.551734341,1312097.16765287,1132830.57931988,864875.355510304,692849.389427625,988889.268213881,913473.59516928,891159.746687964,1128822.15105261,869640.375426141,2029493.10445567,1306601.21801505,1261066.96168695,1849178.99868881,4732214.32862519,1918256.0522745,1770636.79989479,1184055.346495,1033215.66989263,910369.726427224,773003.479335517,522410.371523885,434986.373107718,1153325.4919076,1283485.15374681,2105675.58873862,765785.111759255,836929.494035366,927442.168672258,516738.636056104,1612472.73588677,505291.86681914,1159019.1415762,714343.982110874,820006.314915872,949341.225680741,844041.15677921
2,256777.962805881,383613.5710879,568706.008976237,670799.459296514,614899.108543323,706789.904043228,484323.799703903,536381.083648747,1956333.43669009,586900.950759436,494321.515794822,343895.217001141,322590.63518714,506087.889134113,471057.823413519,305264.044995892,263030.794000427,1060131.33768953,822071.283993661,548616.706646926,449322.470292625,647608.948676456,609650.512069467,526232.838406049,805138.510920002,659042.673414639,1441942.58075305,932455.508425546,845434.639348666,1287477.11164832,3217440.79533063,1391822.34315584,1270542.70660358,867289.407048731,795190.840820067,648152.006938199,564210.941240618,377733.315818123,333173.658597027,923133.097898993,1054470.9618434,1782067.04713865,593284.960748965,635651.415950196,738300.789434229,434457.864358106,1163190.46228516,392229.457368982,826709.793527873,554592.451945749,531914.305408016,784234.733173148
3,322068.890203285,184865.497067552,270361.771988588,377298.387633679,441591.312861477,416673.80246226,465009.791814061,304564.683998331,325548.253625583,1355542.76535013,371938.746321208,314558.416119097,233486.158044953,213515.528993576,296433.234588196,305844.099947741,188703.125698079,160429.24739811,643884.460039858,450620.583030288,330358.511075253,253734.50839771,381760.412641904,291839.570972724,297832.938725037,448698.194035645,356285.628174112,775815.309737261,485352.558831931,476986.675624574,634085.835964653,1523107.94202102,666514.440378698,643007.888199673,488133.08509243,391495.521279222,335753.795348858,312633.011662067,207805.622520682,188032.932901393,479943.15376055,427359.610414244,968830.604382073,330324.036278799,396665.838159991,298196.569964305,208596.150925406,519060.208071256,173084.946054904,422068.753394048,269655.144019481,267892.401482167
4,182985.812311378,225749.006032567,123649.837642935,171551.442246815,239779.566852724,283132.154421254,259568.994392951,276885.760160166,176042.972855384,198052.698929148,832387.732894647,224455.024423347,201832.069642416,152353.569215504,118124.862554108,182008.252485784,185327.940482577,110716.413739998,88849.6040627162,342749.691883268,266287.695751454,182294.307367201,144358.321009944,177595.235194912,135962.443593897,151399.059147959,202786.822183099,183738.879259404,391067.872043128,268056.104832593,229718.824936182,291305.549904678,702735.092487389,318569.728300658,328372.029471376,227492.750858136,183302.917834731,164482.682078587,152259.222492672,95617.4131153004,82637.5412112539,167188.131159119,138847.188676993,507804.485527386,211467.759072411,130200.685079107,140191.57583927,92136.8398044423,259117.123969142,88052.9236888989,212889.15690944,142573.031805012
5,117504.079563137,122170.664997346,142798.653560881,76786.4389870209,105744.160629851,151855.577438273,172009.519648296,152215.413993842,156783.424235458,105458.293430496,116531.839642025,500706.911792191,141579.297881959,129909.976525117,83216.5920541989,72496.8519436112,108926.808376242,97549.899852343,59838.7140496257,46084.5522213092,201301.636549726,146237.913428078,103006.455195004,66561.2160910676,86299.1607790522,67874.4780670841,69784.321243264,87119.1003702809,91983.7220957333,175569.619958699,128141.879671374,100686.974088712,134690.672156598,334157.66762181,155938.74870136,147881.109974493,104212.699135868,85716.3574190012,71519.8651167472,62403.9344492408,38681.8366738097,32674.9787823031,46944.3799567628,35527.9732387872,240506.53480219,73704.4469595033,59082.4982742424,61371.7548478666,42239.6023780825,136368.091166628,45514.93148736,137660.429082743
6,49780.2176067019,75186.4464378437,76063.4736672081,85609.013085624,48183.1188374697,63043.6404926497,89026.0313029247,101919.016658067,80257.8715845537,99441.5301315898,59210.2569768106,65485.0256950932,314126.535663353,93521.4469268586,74031.515253465,50104.1749841717,43139.3376159305,57140.7179855975,48613.8497223237,29724.3457334731,28426.5230832143,93659.9895361614,83479.7099748142,47093.2486070117,36287.4879827657,43675.0341572499,33952.4227699986,34451.5319219319,41768.7234621128,52106.0868327772,77122.8171616379,53065.5952080768,45197.1071790303,64672.8810442029,145571.971294507,66438.16844706,60554.1837448122,43842.3409371393,40115.1724644104,29364.2622172221,25473.4090426786,13301.3275891084,13385.1309250017,19276.5458878039,16332.8503911105,80118.1474301864,29896.0361154932,23649.4762551517,34413.2157435392,17534.5376894572,80086.2319633093,25575.8406918987
7,48438.1791575233,36567.549396215,49331.290809858,46906.8487205373,50972.4013475068,31337.4927894262,37245.3556453986,50127.1087006226,56630.8421933798,43685.8286671664,63824.3643431656,32350.8738952585,42895.0091568278,185269.436600004,51105.1357960031,45123.4280225106,29097.6948198481,25827.2175344122,32892.4978573073,23715.9799980008,17435.7236196244,16902.5337558091,50426.7054691895,37256.1907312439,25424.9202346152,20973.3972392372,23515.3213016784,18376.3670841006,18112.6551932295,22933.797822566,24132.5411479328,36513.4104008588,23980.0710563336,22478.3296453855,32898.0293814811,57051.2617389182,27501.8887482445,26999.6211752936,20139.5480303648,19106.1396877629,12704.7631156397,10087.8415285044,5885.8406827822,5560.2502597154,8258.0199162178,8074.309193179,35740.2951546956,11399.5231775179,10317.1082371808,16289.6739632423,9240.5928677352,49356.8029405139
8,35191.7795041649,33337.5676404382,25308.5327460067,31440.3919986745,28948.9312685272,32157.6880747003,19737.1974773284,21479.5957900283,30309.3853441024,33776.1815682021,23833.2869116984,42364.5370987573,19435.6177278308,28910.7110230405,92600.0342729609,30153.6958654519,27150.6869804997,17877.0096149008,15754.8412857624,18468.4158768623,12783.893756137,10152.8267839213,9643.7422203377,22581.5834799979,20620.9273165596,13907.8609629346,11758.634502858,13462.2416591988,10477.9263158614,9853.110783073,11905.8759890972,10942.5468535599,17082.7776242255,11646.4242502327,12606.6897663255,15584.5372447048,23516.1405618139,12069.7751992001,9854.5790405772,8927.6027039855,7200.1620568797,5444.0234556404,4385.0265716473,2678.4573979941,2749.1230992575,3225.8772681089,2775.2313338832,10631.1496910871,5720.2769984479,4114.0072678438,9297.5229919791,5828.1102341177
9,20762.8532171017,23255.1396582469,22555.2432313676,16804.6292719747,19875.0123150942,16921.4917938816,20503.1215971536,11359.2041470383,13162.1839405231,19288.2494798355,20303.89480747,13951.6094787877,28723.6987184219,11796.891885273,20156.2842176477,55507.9251311811,16912.9378958058,15199.2501328548,10163.0660298819,8621.4380292579,10631.6064852503,6790.2712489064,5998.1365420033,4767.9531755073,12387.1632187778,10961.2381275632,7381.1280520859,6651.1475062631,6907.5240544536,6008.8323945875,4644.4432045698,6643.5951576734,4782.6603084743,8264.8907197368,6527.7371942369,6429.2210397301,7471.403353014,10556.0258351503,4834.2671401386,4763.7241875371,3770.8621457858,3060.1107752009,2542.17518953,1831.2748336798,1283.9956257685,1414.5226561583,1217.1450177447,980.6050105817,5285.6607792118,2688.4557246568,1585.0951971639,5078.6875653174
10,45209.5352619612,49887.2742496637,55136.5239086986,49877.3569106195,48419.8061180577,41052.3416550743,48074.8925836552,47990.5821102068,54735.4373342312,44345.0016851685,33590.5160831369,47348.6520020677,56233.3101192365,41652.8112662776,52939.0391054554,46557.5709316927,66366.8507749398,59733.6331986198,48505.7228818698,36570.2076797822,23949.7151284651,20873.0017872829,19728.1908754244,13688.0393108754,14929.9432472478,21054.9302220365,20198.765187632,15972.0763522953,14773.2503917507,15192.2152681195,11741.7170442457,13015.8028585173,12518.0045492547,9072.5908688813,11547.2298724844,13828.781630432,11982.4808482339,10612.3322407953,7718.1758640168,8814.5907479829,7177.1937665086,5376.5810390248,5125.702825252,4057.6007118213,4624.1106462469,3002.3643000522,1596.9744820572,1278.5436454056,1449.9144522242,2854.5267717847,3660.0903438278,6750.2686869747
