,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
1,0.07717558,0.1050136895,0.1523915408,0.1082993528,0.0968691897,0.0959339038,0.1494772171,0.031603551,0.0684438205,0.0714629557,0.0543663312,0.1973084892,0.1485323014,0.2228892935,0.195664931,0.2320890123,0.1132339446,0.2206476055,0.3551853676,0.3330718177,0.323295322,0.3043686083,0.4267799273,0.237915698,0.1772914774,0.2417948407,0.2373631164,0.2998625754,0.2620571801,0.2858069791,0.2208025404,0.2318951186,0.2113278358,0.1618490903,0.2397255623,0.2148553588,0.2242649985,0.1666508531,0.1226313549,0.0965399711,0.0668624074,0.155226773,0.1750895055,0.1280791254,0.0734382421,0.2266022334,0.1532891975,0.2378756401,0.1531310908,0.332829645,0.0910599173,0.185275113
2,0.2285832357,0.2498747622,0.3103272669,0.3180854011,0.2891545358,0.3186749933,0.3638701992,0.3993341901,0.2668700868,0.3561268872,0.3520163455,0.2872142142,0.3126745707,0.4348883335,0.331905359,0.3810021068,0.3944180936,0.3986287828,0.5012014054,0.4072215693,0.4714523488,0.4284938201,0.6366816251,0.4692110524,0.4846638378,0.5150555517,0.5198320089,0.552945886,0.4723623044,0.6082555218,0.6478333135,0.6363074003,0.5810424242,0.4747846399,0.6086080617,0.557747108,0.4903981749,0.4975852973,0.4720467288,0.5541057583,0.8031686244,0.5094394503,0.4856007237,0.3715561162,0.8065984155,0.6336988745,0.7069020229,0.7180645273,0.5722854952,0.6210896249,0.5858969834,0.4359592916
3,0.2553416781,0.3021748368,0.354877782,0.3533163237,0.3444710574,0.3732811258,0.4184534601,0.4481553623,0.3969775438,0.3876588606,0.4050538298,0.3437337885,0.3269188621,0.4919673431,0.3877699852,0.4009485878,0.4332029156,0.4909079209,0.5305188806,0.4260484188,0.4945560075,0.4639899287,0.6652862185,0.6638255393,0.5766135944,0.6941951979,0.5622171203,0.5850333582,0.4936792473,0.630632496,0.6778116173,0.6735282285,0.6382204272,0.5720097902,0.6634697105,0.6588340024,0.6135728509,0.6194455365,0.6762481866,0.7221530511,0.954547955,1.0242518714,0.5459932792,0.3460015533,1.0140172173,0.6547430137,0.7171252293,0.5947397087,0.5758444524,0.5843965833,0.5372895259,0.3782645612
4,0.3039896609,0.3579881683,0.3764256321,0.3838605786,0.3567901091,0.3983639433,0.4337258267,0.4687396134,0.4124125774,0.4303686142,0.4082774339,0.3608153813,0.3405942909,0.5047571812,0.3881990828,0.4133758555,0.5417628666,0.5153192574,0.5564672973,0.432195957,0.4993424478,0.4708307964,0.6741764822,0.6216871278,0.5947186089,0.6745097661,0.744879138,0.5919039876,0.7008454715,0.63805822,0.7248396231,0.671391884,0.6433670561,0.6143780846,0.6977385619,0.6806843789,0.6600963973,0.7328300436,0.791956154,0.8049847958,0.8278544612,1.1701562165,1.2630536016,0.6473492416,0.9540094115,0.6901422484,0.7260601755,0.6799166352,0.5419223933,0.5598976026,0.3359816462,0.3944703587
5,0.3465020715,0.3738507891,0.4116450504,0.3660193207,0.417195405,0.4340011072,0.4233712785,0.5400518694,0.355295555,0.4772207652,0.4763430362,0.3662250389,0.3146691803,0.462350838,0.407342414,0.4191078529,0.5451592118,0.5964555764,0.5996864119,0.3831551803,0.6651333705,0.4606312315,0.682662009,0.5066490688,0.5810432355,0.5926998743,0.6058558961,0.6351283353,0.4683298559,0.7226364799,0.7816092913,0.7009833534,0.6336388676,0.730942328,0.7531915763,0.7928700766,0.7658339561,0.6592890473,0.7901968808,0.7959932,0.9675063043,0.7924651518,0.7900743778,0.6771419236,0.9992448728,0.8023372358,0.815593774,0.4785090414,0.7791857077,0.4322538286,0.4763922538,0.2777663941
6,0.2084564497,0.3214123994,0.3834044786,0.4185062345,0.3301934947,0.4262999364,0.4743668599,0.4876247917,0.5082210828,0.3434348309,0.5044537523,0.3230660187,0.427984705,0.5043057919,0.3950893044,0.4434453824,0.4130064075,0.452272359,0.6177593816,0.4334452486,0.4198590837,0.5191501869,0.7067854829,0.5163998444,0.4482181617,0.5191244591,0.5138947729,0.5429425885,0.499536107,0.6697205869,0.6477195779,0.694305681,0.5984813661,0.5759292056,0.83672042,0.7820170333,0.707715728,0.6779145929,0.6417448954,0.7378013925,0.8263042358,0.7153142667,0.7785013404,0.7477042787,0.6044911245,0.70722362,0.8641543722,0.7295374578,0.6479092613,0.5405664715,0.3840283464,0.2951015167
7,0.2736034099,0.268019617,0.3504651461,0.3826304061,0.3606327827,0.3623101812,0.4504238049,0.4031045417,0.4167978851,0.5059405494,0.3098233806,0.4095336862,0.2945433324,0.5935216678,0.4275774987,0.4079992308,0.387143447,0.3942811778,0.4771825799,0.5179630041,0.4407690155,0.4611543066,0.7033862214,0.4915116759,0.5032755875,0.4786670145,0.4577633264,0.4617946528,0.508823655,0.5555796511,0.690902613,0.6596088018,0.6222239112,0.4783241113,0.6471335383,0.7862631746,0.7235502739,0.907886611,0.713537541,0.8759061994,0.7474585783,0.7331352042,0.6873085513,0.6043611302,0.8399799048,0.9679532093,1.1124904263,0.5895542975,0.8194059534,0.4607833881,0.360913244,0.40495785
8,0.3142863503,0.2907173637,0.3094872012,0.3586301555,0.4369487691,0.3500744059,0.4524766988,0.3897555864,0.3519613366,0.4089431367,0.4354883368,0.2885891017,0.3992712509,0.2606960385,0.4117637061,0.4782286133,0.4801562559,0.464755337,0.5028958058,0.4522307147,0.5326951892,0.4263033229,0.6043921213,0.5004739717,0.5319412063,0.5335277377,0.4697984249,0.5672775925,0.4560403361,0.6521157256,0.4833788025,0.7276616303,0.6260542904,0.478938843,0.5733742207,0.6351963737,0.7009901517,0.8149748667,0.6269064697,0.7618442434,0.7556524173,0.6614983049,0.7731833307,0.6352642325,0.5644898591,0.8746969674,0.9403196474,0.5987907011,0.6550502818,0.853753091,0.5046951448,0.393374613
9,0.2900775365,0.3232518614,0.3673476098,0.3830698076,0.3814845824,0.395413397,0.4483608598,0.4594053573,0.4102184365,0.434593428,0.4282544868,0.350627017,0.3564214873,0.4667180075,0.407259563,0.4338391078,0.4750854573,0.4863219733,0.5529089564,0.445268764,0.5134264983,0.4692200063,0.6772196129,0.5293079329,0.5338308613,0.5618732115,0.5605976421,0.5619775344,0.5286747813,0.650375311,0.6685687962,0.693846332,0.6273496593,0.5779587881,0.7049120268,0.7407557263,0.7192309851,0.7648522949,0.7092604068,0.8652915185,0.9351653437,0.9288044749,0.9915056569,0.7757057774,0.7371901697,0.8017424258,0.8242067808,0.5828413986,0.5836382877,0.6595654217,0.446490122,0.150019395
10,0.2900775365,0.3232518614,0.3673476098,0.3830698076,0.3814845824,0.395413397,0.4483608598,0.4594053573,0.4102184365,0.434593428,0.4282544868,0.350627017,0.3564214873,0.4667180075,0.407259563,0.4338391078,0.4750854573,0.4863219733,0.5529089564,0.445268764,0.5134264983,0.4692200063,0.6772196129,0.5293079329,0.5338308613,0.5618732115,0.5605976421,0.5619775344,0.5286747813,0.650375311,0.6685687962,0.693846332,0.6273496593,0.5779587881,0.7049120268,0.7407557263,0.7192309851,0.7648522949,0.7092604068,0.8652915185,0.9351653437,0.9288044749,0.9915056569,0.7757057774,0.7371901697,0.8017424258,0.8242067808,0.5828413986,0.5836382877,0.6595654217,0.446490122,0.150019395
