"","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1",0.0001882392345,3.39050768e-05,2.9644929e-05,2.79449945e-05,3.74720962e-05,4.006530916e-05,2.428326961e-05,2.143118754e-05,1.946125855e-05,1.027916544e-05,7.59276364e-06,9.42147458e-06,5.39738044e-06,3.08065812e-06,1.078592373e-06,4.92644338e-07,4.34608938e-07,3.090731358e-07,2.3084754724e-06,2.68963048e-07,1.10178915873e-05,1.87147525e-06,2.46046569e-07,1.3691961535e-06,1.869351337e-06,2.1781991488e-05
"2",0.00094396391,0.000348284511,0.000306381091,0.00028557179,0.000382260294,0.000387861412,0.0002394667541,0.0002091715248,0.0001879497542,9.98699661e-05,7.40162887e-05,8.8963682e-05,5.25380019e-05,3.0472737e-05,1.078143372e-05,4.93761995e-06,4.31826378e-06,3.080188028e-06,2.228773859e-05,3.02058341e-06,0.000107536852652,2.05428397e-05,2.65176943e-06,1.3075668729e-05,1.821345499e-05,0.00021113826026
"3",0.00473763195,0.0026131141,0.00233902521,0.00216427319,0.00289259667,0.00285007801,0.001772248984,0.001542375814,0.001379996982,0.000735508076,0.000546659402,0.00064470416,0.000388006905,0.000226860908,8.08191538e-05,3.70712515e-05,3.21915767e-05,2.293654051e-05,0.00016261769233,2.44972291e-05,0.00078891744826,0.000164080335,2.11792899e-05,9.497912523e-05,0.0001343083829,0.0015420029026
"4",0.0222754576,0.0153668907,0.0139771976,0.0128391082,0.0171295513,0.01638003557,0.01025959833,0.00889592906,0.00792753615,0.004239082,0.00316079548,0.00365160778,0.00224304347,0.001322441494,0.000474666432,0.000218048802,0.000187805397,0.0001335763828,0.0009263696168,0.000155580644,0.0045183674184,0.001026585522,0.000133640319,0.000538852961,0.000774704578,0.00879120653
"5",0.091263445,0.072137045,0.0665136271,0.0605622556,0.080606903,0.0743449516,0.0469468257,0.0405432877,0.0359792324,0.01931766269,0.01446762613,0.01627882426,0.01026411552,0.00611226297,0.00221486713,0.001019144372,0.000868123557,0.000615311835,0.004148343906,0.000795626218,0.020364998871,0.00516107992,0.000684888777,0.002403374975,0.00353162295,0.03939224077
"6",0.312662495,0.273141315,0.25527223,0.229859373,0.304872217,0.268844252,0.1713081517,0.1473195637,0.1302239223,0.0702892831,0.0529823994,0.057545444,0.0375699654,0.0226500983,0.00831219276,0.00383197397,0.00321249084,0.00226165449,0.01467390518,0.00333379355,0.07261284091,0.021197117,0.00291969839,0.00847638283,0.01283935082,0.13935404761
"7",0.88373374,0.8448783,0.80259665,0.71274362,0.94042897,0.784667348,0.504852555,0.432399118,0.381193902,0.207217378,0.157690898,0.1632520809,0.1116778956,0.0683657321,0.0255213716,0.0117904325,0.0096550785,0.00671414282,0.04127684845,0.011640826,0.20622176121,0.0723238585,0.010638484,0.02386486388,0.0377075856,0.391535393
"8",2.07328818,2.17322501,2.1114992,1.84469474,2.41501804,1.88673369,1.225877998,1.046569836,0.922904068,0.506633963,0.390928697,0.37950905,0.275926146,0.172150381,0.0657468475,0.030449111,0.0240921004,0.0164011638,0.09330061,0.0344871541,0.4712279388,0.208810988,0.0341186119,0.0545953051,0.0912447823,0.8815958997
"9",4.13266179,4.75927948,4.77747228,4.10264142,5.309593,3.8571465,2.52935779,2.15663849,1.91286282,1.06458337,0.83737367,0.749104778,0.586213493,0.374372131,0.147207854,0.068406601,0.0515664872,0.0339159336,0.1723117927,0.088277596,0.8796474194,0.519932248,0.098870155,0.1050777328,0.187359304,1.613006574
"10",7.3040394,9.1288804,9.5993195,8.1269282,10.3501207,7.0043973,4.63137332,3.95703298,3.55709076,2.01723628,1.62550734,1.3261458,1.11868184,0.734745626,0.299020653,0.139749593,0.098941605,0.0618295726,0.267038246,0.198535536,1.372547903,1.13633016,0.26339639,0.181874358,0.339830583,2.450231773
"11",12.1652311,15.8143724,17.6888914,14.8944861,18.5848558,11.8790244,7.91847222,6.8089504,6.24426887,3.62754573,3.00217096,2.25132604,2.00622113,1.36109413,0.574497881,0.271308389,0.17892047,0.104523884,0.361899608,0.398009053,1.852365123,2.21234583,0.649653378,0.314435971,0.57064086,3.19355336
"12",20.3389163,25.5062189,30.7070672,26.0963712,31.8313184,19.6196989,13.2047657,11.4766675,10.7505568,6.42244837,5.45649704,3.86581571,3.49982503,2.45895645,1.07510043,0.51657147,0.318467665,0.172245546,0.454691961,0.72028919,2.27131572,3.88440787,1.48450167,0.5983276,0.92833601,3.74784705
"13",35.3767638,39.4563667,51.1650007,44.6729546,53.378181,32.2632523,21.9655774,19.3634143,18.4451191,11.3458908,9.8822188,6.83164719,6.05107391,4.39667171,1.98670235,0.97817876,0.57240552,0.286500053,0.567290861,1.1914113,2.69993821,6.2219462,3.14059079,1.26400553,1.520834,4.22332238
