"","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1",1.8197558e-08,1.0076799e-08,7.6545161e-09,7.4206595e-09,7.3566931e-09,6.8989684e-09,5.4934068e-09,4.8519444e-09,3.422813e-09,2.2691489e-09,1.4163947e-09,1.4978853e-09,9.3119628e-10,6.3873713e-10,3.130944e-10,2.2710074e-10,1.982564e-10,2.1883578e-10,1.1754954e-09,1.04763e-10,4.6573605e-09,5.362466e-10,0,5.134501e-10,3.7566666e-10,4.3931032e-09
"2",1.3942392e-07,9.2660786e-08,7.0340019e-08,6.7988534e-08,6.7383494e-08,6.3228462e-08,5.0445975e-08,4.4499885e-08,3.1484744e-08,2.0893728e-08,1.3054764e-08,1.3712016e-08,8.5821443e-09,5.8784837e-09,2.8988311e-09,2.0885463e-09,1.8186159e-09,2.0023195e-09,1.067508e-08,1.0597681e-09,4.2224338e-08,5.2960675e-09,8.8540124e-10,4.6631388e-09,3.453082e-09,3.9853611e-08
"3",8.7676102e-07,6.6008681e-07,5.023816e-07,4.8438927e-07,4.7994295e-07,4.505723e-07,3.6008559e-07,3.1731825e-07,2.250623e-07,1.4949022e-07,9.3484759e-08,9.7625582e-08,6.144458e-08,4.2043833e-08,2.0837176e-08,1.4929771e-08,1.2970282e-08,1.4249187e-08,7.5479586e-08,8.1426811e-09,2.9813372e-07,3.9993222e-08,6.6336021e-09,3.2978991e-08,2.4663974e-08,2.815389e-07
"4",4.5644302e-06,3.6683678e-06,2.8012763e-06,2.6931433e-06,2.6674133e-06,2.50566e-06,2.0065006e-06,1.7660803e-06,1.2562848e-06,8.3539766e-07,5.2297379e-07,5.4236133e-07,3.436135e-07,2.3485851e-07,1.1709315e-07,8.3353164e-08,7.220462e-08,7.9111683e-08,4.1579173e-07,4.9178231e-08,1.6395524e-06,2.3722406e-07,3.9245704e-08,1.8175455e-07,1.3751866e-07,1.5492209e-06
"5",1.9095109e-05,1.5974594e-05,1.2244133e-05,1.1723222e-05,1.1604269e-05,1.0909795e-05,8.761914e-06,7.6991612e-06,5.4996449e-06,3.663372e-06,2.2968832e-06,2.3583587e-06,1.5081317e-06,1.0293452e-06,5.1756212e-07,3.6508517e-07,3.1489265e-07,3.4365741e-07,1.7855517e-06,2.3828405e-07,7.0235973e-06,1.1245161e-06,1.8680095e-07,7.8127048e-07,6.0090862e-07,6.6422746e-06
"6",6.3253953e-05,5.4772359e-05,4.2187333e-05,4.0138962e-05,3.9690361e-05,3.7363474e-05,3.0144051e-05,2.6421514e-05,1.8994684e-05,1.2687714e-05,7.9744972e-06,8.062195e-06,5.2289597e-06,3.5624137e-06,1.8144058e-06,1.262569e-06,1.0813798e-06,1.1727584e-06,5.9827821e-06,9.4270543e-07,2.3443059e-05,4.3297406e-06,7.3238982e-07,2.623481e-06,2.0685979e-06,2.2199093e-05
"7",0.00016524352,0.00014908253,0.00011572959,0.00010901589,0.00010758935,0.000101491,8.2487454e-05,7.2023557e-05,5.2308701e-05,3.5106357e-05,2.2154561e-05,2.1847313e-05,1.4485347e-05,9.8474765e-06,5.1174715e-06,3.4880397e-06,2.9518766e-06,3.1676069e-06,1.5667678e-05,3.1064156e-06,6.0997633e-05,1.3812551e-05,2.4447877e-06,6.9068573e-06,5.6612534e-06,5.7880567e-05
"8",0.00034168868,0.00032714353,0.00025758073,0.00023880252,0.00023479057,0.00022221681,0.00018283495,0.0001587117,0.00011716971,7.9296166e-05,5.0385121e-05,4.7710899e-05,3.274023e-05,2.2217945e-05,1.1914283e-05,7.8734791e-06,6.5241798e-06,6.8728858e-06,3.2184776e-05,8.7188437e-06,0.00012388241,3.7396167e-05,7.2412547e-06,1.4386364e-05,1.2526676e-05,0.00011795172
"9",0.0005677343,0.0005956779,0.00048174168,0.00043590829,0.00042539387,0.00040467478,0.00033968615,0.00029244116,0.00022145322,0.00015206431,9.7728366e-05,8.6808712e-05,6.2683363e-05,4.2573101e-05,2.3914326e-05,1.5148526e-05,1.2101688e-05,1.234191e-05,5.2294244e-05,2.1305203e-05,0.00019706424,8.8114777e-05,1.9788105e-05,2.4297086e-05,2.3114131e-05,0.00018868429
"10",0.00078946346,0.00094538425,0.00080237289,0.00070326794,0.00067672793,0.00064817704,0.00056058513,0.00047806052,0.00037496463,0.00026354966,0.00017235089,0.00013999682,0.00010783247,7.3843855e-05,4.4038371e-05,2.6618481e-05,2.0073064e-05,1.9401415e-05,6.8575386e-05,4.6115316e-05,0.00024805872,0.00018446894,5.0974335e-05,3.5563193e-05,3.7464785e-05,0.00023958244
