"","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1",13294.287,7361.6391,5592.0322,5421.1875,5374.4566,5040.0643,4013.2266,3544.6041,2500.5474,1657.7343,1034.7519,1094.2851,680.28854,466.63154,228.73215,165.9092,144.83687,159.87121,858.7621,76.534961,3402.4502,391.75674,66.808542,375.10268,274.44453,3209.3961
"2",63376.237,42119.687,31973.607,30904.722,30629.696,28740.994,22930.614,20227.772,14311.637,9497.408,5934.1455,6232.9046,3901.081,2672.1109,1317.6864,949.36511,826.66611,910.17003,4852.4414,481.72589,19193.404,2407.369,402.46608,2119.6663,1569.6255,18115.772
"3",247974.85,186692.75,142088.89,137000.11,135742.56,127435.64,101843.23,89747.313,63654.506,42280.411,26440.351,27611.503,17378.408,11891.283,5893.391,4222.5961,3668.3927,4030.1062,21347.937,2302.9994,84321.34,11311.307,1876.1857,9327.4682,6975.7268,79627.818
"4",803249.07,645559.89,492968.99,473939.74,469411.77,440946.41,353104.26,310795.07,221081.19,147013.4,92033.003,95444.824,60469.152,41330.434,20606.069,14668.502,12706.579,13922.085,73171.088,8654.392,288528.66,41746.724,6906.4645,31985.191,24200.553,272632.11
"5",2090851,1749165,1340691.9,1283653.9,1270628.9,1194586.3,959400.48,843032.58,602192.86,401127.07,251501.09,258232.44,165135.41,112709.88,56671.333,39975.613,34479.699,37629.345,195511.98,26091.312,769060.58,123130.77,20454.084,85546.523,65797.499,727307.01
"6",4309490.6,3731639.8,2874222.2,2734666.7,2704103.5,2545572.8,2053713.6,1800097.3,1294107.5,864413.68,543302.34,549277.19,356248.93,242707.17,123615.43,86018.805,73674.388,79900.004,407606.83,64226.503,1597175.2,294985.14,49897.704,178737.71,140933.53,1512423.8
"7",7004870.2,6319786.3,4905915.6,4621313.5,4560840.8,4302324.7,3496741.6,3053164.5,2217428.2,1488200.4,939158.28,926133.68,614051.13,417446.28,216935.73,147862.16,125133.57,134278.64,664171.58,131684.66,2585762.5,585530.51,103637.47,292789.92,239987.29,2453626.3
"8",9012467.4,8628820.8,6794014.7,6298715.8,6192895.6,5861247,4822501,4186220,3090498.1,2091535.8,1328970.7,1258434.8,863564.61,586026.16,314254.15,207672.88,172083.42,181280.98,848913.81,229970.44,3267553.8,986370.79,190997.17,379458.4,330406.79,3111124.4
"9",9317424.3,9776023.2,7906148.4,7153949.4,6981391,6641357.8,5574790.8,4799425.2,3634400,2495617.6,1603878.2,1424669.3,1028733.8,698692.4,392472.19,248611.44,198607.98,202550.4,858231.84,349652.31,3234138.1,1446103.8,324754.32,398753.89,379339.7,3096609.7
"10",8061588.6,9653770.4,8193413,7181405.1,6910392.3,6618845.5,5724402.6,4881704.4,3828943.1,2691231.5,1759957.3,1429574.4,1101128.9,754054.89,449696.86,271814.03,204975.65,198117.12,700256.03,470905.52,2533046.1,1883700.5,520523.29,363152.76,382570.82,2446490.8
