"","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1",5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05,5.0625e-05
"2",0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375,0.000234375
"3",0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125,0.000643125
"4",0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875,0.001366875
"5",0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625,0.002495625
"6",0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375,0.004119375
"7",0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125,0.006328125
"8",0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875,0.009211875
"9",0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625,0.012860625
"10",0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375,0.017364375
"11",0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125,0.022813125
"12",0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875,0.029296875
"13",0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625,0.036905625
"14",0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375,0.045729375
"15",0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125,0.055858125
"16",0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875,0.067381875
