"year","ssb","rec","catch"
1957,274205.46134596,457973.490139835,78422.947
1958,288540.043610548,698110.437364402,88240.059
1959,296824.750575271,863385.910769284,109237.616
1960,308163.764089395,757298.545907669,117137.86
1961,321353.563491759,860576.614059961,118330.99
1962,372863.404457956,589153.991120365,125272.437
1963,370372.932731401,688366.98383933,148170.422
1964,363077.149207243,2231503.50713806,147356.695
1965,344013.37067201,694574.81965068,139819.775
1966,361549.056355599,586779.4955616,166783.537
1967,416563.213259584,401297.617570675,163177.983
1968,402520.967179274,434281.362722409,139502.582
1969,377432.00540073,648876.65811707,142895.554
1970,333933.385443174,650583.821880048,160025.606
1971,316343.422873375,410280.903023851,136932.359
1972,319061.922656875,366632.551734341,142494.79
1973,268714.202506539,1312097.16765287,143882.906
1974,278647.61883829,1132830.57931988,157804.435
1975,293136.406004126,864875.355510304,195154.382
1976,310954.454914897,692849.389427625,167089.492
1977,316928.608925816,988889.268213881,176691.392
1978,303432.590927221,913473.59516928,159726.832
1979,297121.730273599,891159.746687964,213421.591
1980,272415.615839204,1128822.15105261,171235.111
1981,262061.332948251,869640.375426141,172670.592
1982,263998.330238296,2029493.10445567,204286.485
1983,314020.50879494,1306601.21801505,218423.617
1984,326340.744811002,1261066.96168695,226930.313
1985,348674.867209179,1849178.99868881,220928.207
1986,375391.550441016,4732214.32862519,296876.115
1987,445854.85548713,1918256.0522745,342985.126
1988,391253.917882631,1770636.79989479,311634.957
1989,408488.776136581,1184055.346495,277738.063
1990,368969.198198112,1033215.66989263,228733.808
1991,335746.608088194,910369.726427224,229607.279
1992,269528.470558972,773003.479335517,183284.236
1993,228667.530483408,522410.371523885,152242.304
1994,193093.117729925,434986.373107718,134391.714
1995,174408.0930689,1153325.4919076,120316.141
1996,173902.648560814,1283485.15374681,133796.854
1997,185308.314483796,2105675.58873862,179956.978
1998,211327.15075539,765785.111759255,175001.572
1999,184733.014430913,836929.494035366,151708.414
2000,208393.416121424,927442.168672258,126141.567
2001,234078.097989415,516738.636056104,182578.356
2002,162725.40045262,1612472.73588677,125884.419
2003,179158.200910631,505291.86681914,145389.938
2004,151508.063162922,1159019.1415762,117701.927
2005,167530.838758958,714343.982110874,111059.698
2006,173782.803916043,820006.314915872,121205.484
2007,166060.650418774,949341.225680741,90282.802
2008,206479.615144403,844041.15677921,96040.449
