year	ssb	rec
1969	2794	3958
1970	3069	2989
1971	2814	2648
1972	2790	3647
1973	3393	3401
1974	3280	3176
1975	4217	7231
1976	4367	5074
1977	4415	4698
1978	4989	5169
1979	5421	8952
1980	5255	5178
1981	4856	4154
1982	4809	6594
1983	4800	7898
1984	4677	4259
1985	4059	6450
1986	3927	4196
1987	3988	4114
1988	3888	3160
1989	3421	7926
1990	3277	4409
1991	3020	3883
1992	2845	2601
1993	2865	3726
1994	3216	4457
1995	3301	3777
1996	3081	4989
1997	2911	3683
1998	2970	6973
1999	2974	5593
2000	2934	3698
2001	2884	5669
2002	3039	3023
2003	2983	4317
2004	2700	4803
