year	age1	age2	age3	age4	age5	age6
1958	1642	3742	33094	25746	12551	55010
1959	1203	25717	2274	19262	11015	34748
1960	2840	72246	24658	3779	13698	19057
1961	2129	16058	32044	5631	2034	14363
1962	772	18567	19909	48061	8075	21304
1963	297	51935	13033	4179	20694	9353
1964	7529	15058	17250	6658	1719	12790
1965	57	70248	9365	15757	3399	25536
1966	7093	19559	59893	9924	13211	21776
1967	7599	39991	20062	49113	9218	26650
1968	12197	54790	39604	11544	22599	15345
1969	9472	93279	55039	33145	12217	28242
1970	1319	37260	50087	26481	18763	19746
1971	12658	23313	37563	41904	18759	21900
1972	8422	137690	17855	15842	14531	11051
1973	23547	38133	55805	7012	9651	12216
1974	5507	42808	17184	22530	4225	8445
1975	12768	15429	17783	7333	9006	7494
1976	13317	11113	7286	7011	2872	9777
1977	8159	12516	8610	5280	1585	3794
1978	2800	13385	11948	5583	1580	3356
1979	11335	13913	12399	8636	2889	3785
1980	7162	30093	11726	6585	2812	5215
1981	39361	21285	21861	5505	4438	5410
1982	15339	42725	8728	4817	1497	4492
1983	13540	102871	26993	3225	1862	1939
1984	19517	92892	41121	16043	2450	1872
1985	17916	57054	36258	16032	2306	618
1986	4159	56747	42881	32930	8790	1266
1987	5976	67000	43075	23014	14323	4651
1988	2307	82027	30962	9398	5963	4299
1989	8260	42413	68399	19601	8205	7875
1990	2702	41756	24634	35258	8116	6636
1991	1912	63854	38342	16916	28405	9004
1992	10410	26752	35019	27591	10139	28056
1993	1608	94061	9372	10221	4491	10085
1994	12130	35768	61737	3289	3025	8665
1995	9450	79159	22591	36541	3686	8772
1996	3476	61923	38244	7943	16114	6195
1997	3849	37440	53040	31442	8318	8720
1998	5818	41510	27102	28274	13178	7405
1999	14274	34072	36086	14642	15515	13305
2000	9953	77378	18952	12060	5230	9787
2001	15724	62153	35816	5953	4249	3771
2002	3495	26472	18532	5309	1416	2061
2003	2711	37006	24444	14763	5719	6628
2004	4276	9470	46243	21863	8638	2151
2005	15419	30710	5766	18666	7349	2495
2006	1460	33894	10914	2469	6261	2997
2007	8043	11028	36223	5509	1365	2509
2008	1288	12468	8144	15565	2328	909
